iter	RMSE
0	0.4937499999
1	0.4838749998
2	0.4741974996
3	0.4664951794
4	0.4571652757
5	0.4514507096
6	0.4458075757
7	0.4430299756
8	0.4358466194
9	0.4287921981
10	0.4234322955
11	0.4181393918
12	0.4129126493
13	0.4062412312
14	0.4011632158
15	0.3946015985
16	0.3896690784
17	0.3847982149
18	0.3785810476
19	0.3724751497
20	0.3678192103
21	0.3618973896
22	0.3559573685
23	0.3515079013
24	0.3458486963
25	0.3415255876
26	0.3372565177
27	0.3330408111
28	0.3288778009
29	0.3247668284
30	0.3207072429
31	0.3166984023
32	0.3127396723
33	0.3088304263
34	0.3049700459
35	0.3011579203
36	0.2963179369
37	0.2903918684
38	0.28676197
39	0.281027023
40	0.2765185969
41	0.2720903801
42	0.2686892503
43	0.2653306346
44	0.2620140016
45	0.2587388265
46	0.2555045911
47	0.2523107837
48	0.2491568989
49	0.2460424376
50	0.2421092779
51	0.2390829119
52	0.2352678063
53	0.2323269587
54	0.2294228717
55	0.2248346792
56	0.2220242457
57	0.2192489426
58	0.2165083308
59	0.2138019766
60	0.2111294518
61	0.2084903336
62	0.2043207777
63	0.200234618
64	0.1977316853
65	0.1952600392
66	0.1928192886
67	0.1904090475
68	0.1866011148
69	0.1842686009
70	0.1819652433
71	0.1783261855
72	0.1760971082
73	0.1725754149
74	0.1704182222
75	0.1670101086
76	0.1636701624
77	0.1616242854
78	0.1583920576
79	0.1564121568
80	0.1544570049
81	0.1513681214
82	0.1483410209
83	0.1464867581
84	0.1446556736
85	0.1428474777
86	0.1399907854
87	0.1382409006
88	0.1354763419
89	0.1337828876
90	0.1321106015
91	0.130459219
92	0.1288284787
93	0.1262521607
94	0.1246740087
95	0.1221807821
96	0.1197374252
97	0.1182407073
98	0.1167626985
99	0.114427702
